source,desc,alpha,rho,n_params,note
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.1,-0.008332213494315122,2726.79,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.05,0.1417638946315352,1601.39,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.05,-0.007313479213828522,1601.39,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.01,0.1458197750240715,486.42,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.01,-0.0032575988212922014,486.42,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.005,0.1484366295312013,300.09000000000003,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.005,-0.000640744314162417,300.09000000000003,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.001,0.1447297154561922,102.29,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,negative,0.001,-0.004347658389171505,102.29,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.0316227766016837,0.1458447385840715,1132.02,max rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.1,0.1403666415154421,2717.98,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.1,-0.005478097068629395,2717.98,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.05,0.1443333199089672,1599.3200000000002,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.05,-0.0015114186751042924,1599.3200000000002,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.01,0.1410607216574218,478.0,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.01,-0.004784016926649676,478.0,max rho - alpha = 0.01 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.005,0.1390345581132369,283.78000000000003,fixed alpha 0.005
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.005,-0.0068101804708345925,283.78000000000003,max rho - alpha = 0.005 rho
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.001,0.1315120427925611,86.53999999999999,fixed alpha 0.001
IMAGEN_mats_mid_bsl_neo_c_neuroticism_average_fu2,positive,0.001,-0.014332695791510391,86.53999999999999,max rho - alpha = 0.001 rho
IMAGEN_mats_mid_bsl_neo_c_openness_average_fu2,all,0.0012589254117941,0.1640564369865528,170.20999999999998,max rho
IMAGEN_mats_mid_bsl_neo_c_openness_average_fu2,all,0.1,0.1529342453318588,5190.68,fixed alpha 0.1
IMAGEN_mats_mid_bsl_neo_c_openness_average_fu2,all,0.1,-0.011122191654694025,5190.68,max rho - alpha = 0.1 rho
IMAGEN_mats_mid_bsl_neo_c_openness_average_fu2,all,0.05,0.1573291292217722,2989.53,fixed alpha 0.05
IMAGEN_mats_mid_bsl_neo_c_openness_average_fu2,all,0.05,-0.006727307764780616,2989.53,max rho - alpha = 0.05 rho
IMAGEN_mats_mid_bsl_neo_c_openness_average_fu2,all,0.01,0.1595128440035917,840.8,fixed alpha 0.01
IMAGEN_mats_mid_bsl_neo_c_openness_average_fu2,all,0.01,-0.004543592982961114,840.8,max rho - alpha = 0.01 rho
